op,a,b,return_type,impl,eigen_unsupported,test_in,test_out,constraint
FALSE,,,,false,,,,
MATRIX,,,,matrix(pn),,,,
DECIMAL_LITERAL|INTEGER_LITERAL,,,,parse_tree.getFlagAsDouble(pn),,,,
STRING,,,,str(pn),,,,
LAMBDA,,,,anonFun(pn),,,,
CALL,,,,call(pn),,,,
ZERO_MATRIX,double,double,MatrixXd|double,"a*b == 1 ? Value(0.0) : MatrixXd::Zero(static_cast<Index>(a), static_cast<Index>(b))",,,,
ONES_MATRIX,double,double,MatrixXd|double,"a*b == 1 ? Value(1.0) : MatrixXd::Ones(static_cast<Index>(a), static_cast<Index>(b))",,,,
IDENTITY_MATRIX,double,double,MatrixXd|double,"a*b == 1 ? Value(1.0) : MatrixXd::Identity(static_cast<Index>(a), static_cast<Index>(b))",,,,
UNIT_VECTOR,,,,unitVector(pn),,,,
LENGTH,double,,double,static_cast<double>(1),,,,
LENGTH,string,,double,static_cast<double>(a.size()),,,,
LENGTH,MatrixXd,,double,static_cast<double>(a.size()),,,,(a.cols() > 1 && a.rows() > 1)=>DIMENSION_MISMATCH
SINE,double,,,std::sin(a),,,,
SINE,MatrixXd,,,a.sin(),y,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
COSINE,double,,,std::cos(a),,,,
COSINE,MatrixXd,,,a.cos(),y,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
TANGENT,double,,,std::tan(a),,,,
ARCSINE,double,,,std::asin(a),,,,
ARCCOSINE,double,,,std::acos(a),,,,
ARCTANGENT,double,,,std::atan(a),,,,
ARCTANGENT2,double,double,,"std::atan2(a,b)",,,,
COSECANT,double,,,1/std::sin(a),,,,
SECANT,double,,,1/std::cos(a),,,,
COTANGENT,double,,,1/std::tan(a),,,,
ARCCOSECANT,double,,,std::asin(1/a),,,,
ARCSECANT,double,,,std::acos(1/a),,,,
ARCCOTANGENT,double,,,std::atan(1/a),,,,
HYPERBOLIC_SINE,double,,,std::sinh(a),,,,
HYPERBOLIC_SINE,MatrixXd,,,a.sinh(),y,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
HYPERBOLIC_COSINE,double,,,std::cosh(a),,,,
HYPERBOLIC_TANGENT,double,,,std::tanh(a),,,,
HYPERBOLIC_ARCSINE,double,,,std::asinh(a),,,,
HYPERBOLIC_ARCCOSINE,double,,,std::acosh(a),,,,
HYPERBOLIC_ARCTANGENT,double,,,std::atanh(a),,,,
HYPERBOLIC_COSECANT,double,,,1/std::asinh(a),,,,
HYPERBOLIC_SECANT,double,,,1/std::acosh(a),,,,
HYPERBOLIC_COTANGENT,double,,,1/std::atanh(a),,,,
HYPERBOLIC_ARCCOSECANT,double,,,"std::log( 1/a + std::sqrt(1/std::pow(a,2) + 1) )",,,,
HYPERBOLIC_ARCSECANT,double,,,"std::log( (1 + std::sqrt(1 - std::pow(a,2))) / a )",,,,
HYPERBOLIC_ARCCOTANGENT,double,,,std::log((a+1)/(a-1))/2,,,,
EXP,double,,,std::exp(a),,,,
EXP,MatrixXd,,,a.exp(),y,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
NATURAL_LOG,double,,,std::log(a),,,,a <= 0=>LOG_ARG
NATURAL_LOG,MatrixXd,,,a.log(),y,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
LOGARITHM,double,,,std::log(a) / std::log(10),,,,a <= 0=>LOG_ARG
LOGARITHM_BASE,double,double,,std::log(a) / std::log(b),,,,a <= 0=>LOG_ARG:b <= 0=>LOG_BASE
ERROR_FUNCTION,double,,,std::erf(a),,,,
COMP_ERR_FUNC,double,,,std::erfc(a),,,,
SUMMATION,,,,sum(pn),,,,
PRODUCT,,,,prod(pn),,,,
CASES,,,,cases(pn),,,,
PI,,,,3.14159265358979323846264338327950288419716939937510f,,,,
EULERS_NUMBER,,,,2.71828182845904523536028747135266249775724709369995f,,,,
GOLDEN_RATIO,,,,1.61803398874989484820458683436563811f,,,,
SPEED_OF_LIGHT,,,,299792458.0f,,,,
PLANCK_CONSTANT,,,,6.62607015e-34f,,,,
REDUCED_PLANCK_CONSTANT,,,,1.054571817e-34f,,,,
STEFAN_BOLTZMANN_CONSTANT,,,,5.670374419e-8f,,,,
ACCENT_HAT,MatrixXd,,,hat(a),,,,((a.size()!=3) & (a.size() != 6)) | ((a.rows()>1) & (a.cols()>1))=>DIMENSION_MISMATCH
PROXY,,,,interpretExpr(parse_tree.getFlag(pn)),,,,
BIJECTIVE_MAPPING,MatrixXd,,,invHat(a),,,,((a.rows()!=3) | (a.cols() != 3)) & ((a.rows() != 4) | (a.cols() != 4))=>DIMENSION_MISMATCH
INVERT,double,,,1/a,,,,
INVERT,MatrixXd,,,a.inverse(),,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
LINEAR_SOLVE,double,double,,b/a,,,,
LINEAR_SOLVE,double,MatrixXd,,b/a,,,,
LINEAR_SOLVE,MatrixXd,double,,a.inverse()*b,,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
LINEAR_SOLVE,MatrixXd,MatrixXd,,a.colPivHouseholderQr().solve(b),,,,(a.cols()!=a.rows()) | (a.cols()!=b.rows())=>DIMENSION_MISMATCH
NORM_SQUARED,double,,,a*a,,,,
NORM_SQUARED,MatrixXd,,,a.squaredNorm(),,,,((a.rows()>1) & (a.cols()>1))=>DIMENSION_MISMATCH
CHECK_SCALAR,double,,,a,,,,
CHECK_SCALAR,MatrixXd,,,"error(EXPECT_SCALAR, pn)",,,,
CHECK_ZERO,double,,,a,,,,a!=0=>INDEX_OUT_OF_RANGE
CHECK_ZERO,MatrixXd,,,"error(EXPECT_SCALAR, pn)",,,,
CHECK_NAT,double,,,a,,,,a<1=>DIMENSION_MISMATCH
CHECK_NAT,MatrixXd,,,"error(EXPECT_SCALAR, pn)",,,,
CHECK_POSITIVE_INT,double,,,a,,,,a<0=>DIMENSION_MISMATCH
CHECK_POSITIVE_INT,MatrixXd,,,"error(EXPECT_SCALAR, pn)",,,,
MATRIX_LITERAL,,,,std::get<MatrixXd>(parse_tree.getValue(pn)),,,,
DERIVATIVE|PARTIAL,,,,finiteDiff(pn),,,,
FACTORIAL,,,,factorial(pn),,,,
BINOMIAL,,,,binomial(pn),,,,
